id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time,Enstrophy,Kinetic Energy,Kinetic Energy Dissipation Rate
0,0.005,4000,800.0,1.4,0.1,0.71,1,2,17,5.0,2.6549225230913063,0.11503391671060326,0.0033186531538641328
0,0.005,4000,800.0,1.4,0.1,0.71,1,2,17,10.0,2.8795168332030086,0.07256062262330193,0.003599396041503761
0,0.005,4000,800.0,1.4,0.1,0.71,1,2,17,15.0,1.2538161641426036,0.03942540847492396,0.0015672702051782545
0,0.005,4000,800.0,1.4,0.1,0.71,1,2,17,20.0,0.6092546353250141,0.025679370047898158,0.0007615682941562676
1,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,5.0,3.609965639623878,0.11382839096010056,0.004512457049529847
1,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,10.0,3.9175895495528232,0.06535248230384336,0.004896986936941029
1,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,15.0,1.6228074430539805,0.032455257384662095,0.0020285093038174755
1,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,20.0,0.7221483766873291,0.020997474453594706,0.0009026854708591614
2,0.005,4000,800.0,1.4,0.1,0.71,1,6,17,5.0,3.9257375593288013,0.11358310191345594,0.004907171949161002
2,0.005,4000,800.0,1.4,0.1,0.71,1,6,17,10.0,4.452415159234873,0.06387105724183194,0.0055655189490435904
2,0.005,4000,800.0,1.4,0.1,0.71,1,6,17,15.0,2.1383539881727947,0.030723548554180736,0.0026729424852159935
2,0.005,4000,800.0,1.4,0.1,0.71,1,6,17,20.0,0.7661876645504814,0.01764038999266879,0.0009577345806881017
3,0.005,4000,800.0,1.4,0.1,0.71,1,8,17,5.0,4.076726107078328,0.11349131715552331,0.00509590763384791
3,0.005,4000,800.0,1.4,0.1,0.71,1,8,17,10.0,4.769230311874059,0.06235478071482882,0.005961537889842574
3,0.005,4000,800.0,1.4,0.1,0.71,1,8,17,15.0,1.8677679176354,0.03004400304584023,0.00233470989704425
3,0.005,4000,800.0,1.4,0.1,0.71,1,8,17,20.0,0.7635271587080148,0.019705913812020026,0.0009544089483850185
4,0.005,4000,800.0,1.4,0.1,0.71,2,2,17,5.0,2.6549225230913063,0.11503391671060326,0.0033186531538641328
4,0.005,4000,800.0,1.4,0.1,0.71,2,2,17,10.0,2.8795168332030086,0.07256062262330193,0.003599396041503761
4,0.005,4000,800.0,1.4,0.1,0.71,2,2,17,15.0,1.2538161641426036,0.03942540847492396,0.0015672702051782545
4,0.005,4000,800.0,1.4,0.1,0.71,2,2,17,20.0,0.6092546353250141,0.025679370047898158,0.0007615682941562676
5,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,5.0,3.609965639623878,0.11382839096010056,0.004512457049529847
5,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,10.0,3.9175895495528232,0.06535248230384336,0.004896986936941029
5,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,15.0,1.6228074430539805,0.032455257384662095,0.0020285093038174755
5,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,20.0,0.7221483766873291,0.020997474453594706,0.0009026854708591614
6,0.005,4000,800.0,1.4,0.1,0.71,2,6,17,5.0,3.9257375593288013,0.11358310191345594,0.004907171949161002
6,0.005,4000,800.0,1.4,0.1,0.71,2,6,17,10.0,4.452415159234873,0.06387105724183194,0.0055655189490435904
6,0.005,4000,800.0,1.4,0.1,0.71,2,6,17,15.0,2.1383539881727947,0.030723548554180736,0.0026729424852159935
6,0.005,4000,800.0,1.4,0.1,0.71,2,6,17,20.0,0.7661876645504814,0.01764038999266879,0.0009577345806881017
7,0.005,4000,800.0,1.4,0.1,0.71,2,8,17,5.0,4.076726107078328,0.11349131715552331,0.00509590763384791
7,0.005,4000,800.0,1.4,0.1,0.71,2,8,17,10.0,4.769230311874059,0.06235478071482882,0.005961537889842574
7,0.005,4000,800.0,1.4,0.1,0.71,2,8,17,15.0,1.8677679176354,0.03004400304584023,0.00233470989704425
7,0.005,4000,800.0,1.4,0.1,0.71,2,8,17,20.0,0.7635271587080148,0.019705913812020026,0.0009544089483850185
8,0.005,4000,800.0,1.4,0.1,0.71,3,2,17,5.0,2.6549225230913063,0.11503391671060326,0.0033186531538641328
8,0.005,4000,800.0,1.4,0.1,0.71,3,2,17,10.0,2.8795168332030086,0.07256062262330193,0.003599396041503761
8,0.005,4000,800.0,1.4,0.1,0.71,3,2,17,15.0,1.2538161641426036,0.03942540847492396,0.0015672702051782545
8,0.005,4000,800.0,1.4,0.1,0.71,3,2,17,20.0,0.6092546353250141,0.025679370047898158,0.0007615682941562676
9,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,5.0,3.609965639623878,0.11382839096010056,0.004512457049529847
9,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,10.0,3.9175895495528232,0.06535248230384336,0.004896986936941029
9,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,15.0,1.6228074430539805,0.032455257384662095,0.0020285093038174755
9,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,20.0,0.7221483766873291,0.020997474453594706,0.0009026854708591614
10,0.005,4000,800.0,1.4,0.1,0.71,3,6,17,5.0,3.9257375593288013,0.11358310191345594,0.004907171949161002
10,0.005,4000,800.0,1.4,0.1,0.71,3,6,17,10.0,4.452415159234873,0.06387105724183194,0.0055655189490435904
10,0.005,4000,800.0,1.4,0.1,0.71,3,6,17,15.0,2.1383539881727947,0.030723548554180736,0.0026729424852159935
10,0.005,4000,800.0,1.4,0.1,0.71,3,6,17,20.0,0.7661876645504814,0.01764038999266879,0.0009577345806881017
11,0.005,4000,800.0,1.4,0.1,0.71,3,8,17,5.0,4.076726107078328,0.11349131715552331,0.00509590763384791
11,0.005,4000,800.0,1.4,0.1,0.71,3,8,17,10.0,4.769230311874059,0.06235478071482882,0.005961537889842574
11,0.005,4000,800.0,1.4,0.1,0.71,3,8,17,15.0,1.8677679176354,0.03004400304584023,0.00233470989704425
11,0.005,4000,800.0,1.4,0.1,0.71,3,8,17,20.0,0.7635271587080148,0.019705913812020026,0.0009544089483850185
12,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,5.0,2.6549225230913063,0.11503391671060326,0.0033186531538641328
12,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,10.0,2.8795168332030086,0.07256062262330193,0.003599396041503761
12,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,15.0,1.2538161641426036,0.03942540847492396,0.0015672702051782545
12,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,20.0,0.6092546353250141,0.025679370047898158,0.0007615682941562676
13,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,5.0,3.609965639623878,0.11382839096010056,0.004512457049529847
13,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,10.0,3.9175895495528232,0.06535248230384336,0.004896986936941029
13,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,15.0,1.6228074430539805,0.032455257384662095,0.0020285093038174755
13,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,20.0,0.7221483766873291,0.020997474453594706,0.0009026854708591614
14,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,5.0,3.9257375593288013,0.11358310191345594,0.004907171949161002
14,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,10.0,4.452415159234873,0.06387105724183194,0.0055655189490435904
14,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,15.0,2.1383539881727947,0.030723548554180736,0.0026729424852159935
14,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,20.0,0.7661876645504814,0.01764038999266879,0.0009577345806881017
15,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,5.0,4.076726107078328,0.11349131715552331,0.00509590763384791
15,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,10.0,4.769230311874059,0.06235478071482882,0.005961537889842574
15,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,15.0,1.8677679176354,0.03004400304584023,0.00233470989704425
15,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,20.0,0.7635271587080148,0.019705913812020026,0.0009544089483850185
16,0.005,4000,800.0,1.4,0.1,0.71,5,2,17,5.0,2.6549225230913063,0.11503391671060326,0.0033186531538641328
16,0.005,4000,800.0,1.4,0.1,0.71,5,2,17,10.0,2.8795168332030086,0.07256062262330193,0.003599396041503761
16,0.005,4000,800.0,1.4,0.1,0.71,5,2,17,15.0,1.2538161641426036,0.03942540847492396,0.0015672702051782545
16,0.005,4000,800.0,1.4,0.1,0.71,5,2,17,20.0,0.6092546353250141,0.025679370047898158,0.0007615682941562676
17,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,5.0,3.609965639623878,0.11382839096010056,0.004512457049529847
17,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,10.0,3.9175895495528232,0.06535248230384336,0.004896986936941029
17,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,15.0,1.6228074430539805,0.032455257384662095,0.0020285093038174755
17,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,20.0,0.7221483766873291,0.020997474453594706,0.0009026854708591614
18,0.005,4000,800.0,1.4,0.1,0.71,5,6,17,5.0,3.9257375593288013,0.11358310191345594,0.004907171949161002
18,0.005,4000,800.0,1.4,0.1,0.71,5,6,17,10.0,4.452415159234873,0.06387105724183194,0.0055655189490435904
18,0.005,4000,800.0,1.4,0.1,0.71,5,6,17,15.0,2.1383539881727947,0.030723548554180736,0.0026729424852159935
18,0.005,4000,800.0,1.4,0.1,0.71,5,6,17,20.0,0.7661876645504814,0.01764038999266879,0.0009577345806881017
19,0.005,4000,800.0,1.4,0.1,0.71,5,8,17,5.0,nan,0.11503391671060326,nan
19,0.005,4000,800.0,1.4,0.1,0.71,5,8,17,10.0,nan,0.07256062262330193,nan
19,0.005,4000,800.0,1.4,0.1,0.71,5,8,17,15.0,nan,0.03942540847492396,nan
19,0.005,4000,800.0,1.4,0.1,0.71,5,8,17,20.0,nan,0.025679370047898158,nan
20,0.005,4000,800.0,1.4,0.1,0.71,6,2,17,5.0,2.7944380314824704,0.11382839096010056,0.003493047539353088
20,0.005,4000,800.0,1.4,0.1,0.71,6,2,17,10.0,2.6096981442771474,0.06535248230384336,0.0032621226803464342
20,0.005,4000,800.0,1.4,0.1,0.71,6,2,17,15.0,1.0787959866119174,0.032455257384662095,0.0013484949832648968
20,0.005,4000,800.0,1.4,0.1,0.71,6,2,17,20.0,0.5083139931134244,0.020997474453594706,0.0006353924913917805
21,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,5.0,3.590745827513289,0.11358310191345594,0.0044884322843916115
21,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,10.0,3.7593540968667267,0.06387105724183194,0.004699192621083408
21,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,15.0,1.8152521930550019,0.030723548554180736,0.002269065241318752
21,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,20.0,0.6600588898886787,0.01764038999266879,0.0008250736123608483
22,0.005,4000,800.0,1.4,0.1,0.71,6,6,17,5.0,3.888247138087527,0.11349131715552331,0.004860308922609409
22,0.005,4000,800.0,1.4,0.1,0.71,6,6,17,10.0,4.322214816194422,0.06235478071482882,0.005402768520243028
22,0.005,4000,800.0,1.4,0.1,0.71,6,6,17,15.0,1.7042735421662707,0.03004400304584023,0.0021303419277078385
22,0.005,4000,800.0,1.4,0.1,0.71,6,6,17,20.0,0.7129593934356467,0.019705913812020026,0.0008911992417945584
23,0.005,4000,800.0,1.4,0.1,0.71,6,8,17,5.0,nan,0.11503391671060326,nan
23,0.005,4000,800.0,1.4,0.1,0.71,6,8,17,10.0,nan,0.07256062262330193,nan
23,0.005,4000,800.0,1.4,0.1,0.71,6,8,17,15.0,nan,0.03942540847492396,nan
23,0.005,4000,800.0,1.4,0.1,0.71,6,8,17,20.0,nan,0.025679370047898158,nan
24,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,5.0,2.7944380314824704,0.11382839096010056,0.003493047539353088
24,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,10.0,2.6096981442771474,0.06535248230384336,0.0032621226803464342
24,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,15.0,1.0787959866119174,0.032455257384662095,0.0013484949832648968
24,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,20.0,0.5083139931134244,0.020997474453594706,0.0006353924913917805
25,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,5.0,nan,0.11503391671060326,nan
25,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,10.0,nan,0.07256062262330193,nan
25,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,15.0,nan,0.03942540847492396,nan
25,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,20.0,nan,0.025679370047898158,nan
26,0.005,4000,800.0,1.4,0.1,0.71,7,6,17,5.0,nan,0.11382839096010056,nan
26,0.005,4000,800.0,1.4,0.1,0.71,7,6,17,10.0,nan,0.06535248230384336,nan
26,0.005,4000,800.0,1.4,0.1,0.71,7,6,17,15.0,nan,0.032455257384662095,nan
26,0.005,4000,800.0,1.4,0.1,0.71,7,6,17,20.0,nan,0.020997474453594706,nan
27,0.005,4000,800.0,1.4,0.1,0.71,7,8,17,5.0,nan,0.11358310191345594,nan
27,0.005,4000,800.0,1.4,0.1,0.71,7,8,17,10.0,nan,0.06387105724183194,nan
27,0.005,4000,800.0,1.4,0.1,0.71,7,8,17,15.0,nan,0.030723548554180736,nan
27,0.005,4000,800.0,1.4,0.1,0.71,7,8,17,20.0,nan,0.01764038999266879,nan
28,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,5.0,2.759978135201249,0.11349131715552331,0.0034499726690015615
28,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,10.0,2.407258520693554,0.06235478071482882,0.0030090731508669428
28,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,15.0,0.9519436459982882,0.03004400304584023,0.0011899295574978603
28,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,20.0,0.44224252283260823,0.019705913812020026,0.0005528031535407603
29,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,5.0,nan,0.11503391671060326,nan
29,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,10.0,nan,0.07256062262330193,nan
29,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,15.0,nan,0.03942540847492396,nan
29,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,20.0,nan,0.025679370047898158,nan
30,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,5.0,nan,0.11382839096010056,nan
30,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,10.0,nan,0.06535248230384336,nan
30,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,15.0,nan,0.032455257384662095,nan
30,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,20.0,nan,0.020997474453594706,nan
31,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,5.0,nan,0.11503391671060326,nan
31,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,10.0,nan,0.07256062262330193,nan
31,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,15.0,nan,0.03942540847492396,nan
31,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,20.0,nan,0.025679370047898158,nan
32,0.005,4000,800.0,1.4,0.1,0.71,9,2,17,5.0,2.7944380314824704,0.11382839096010056,0.003493047539353088
32,0.005,4000,800.0,1.4,0.1,0.71,9,2,17,10.0,2.6096981442771474,0.06535248230384336,0.0032621226803464342
32,0.005,4000,800.0,1.4,0.1,0.71,9,2,17,15.0,1.0787959866119174,0.032455257384662095,0.0013484949832648968
32,0.005,4000,800.0,1.4,0.1,0.71,9,2,17,20.0,0.5083139931134244,0.020997474453594706,0.0006353924913917805
33,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,5.0,3.590745827513289,0.11358310191345594,0.0044884322843916115
33,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,10.0,3.7593540968667267,0.06387105724183194,0.004699192621083408
33,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,15.0,1.8152521930550019,0.030723548554180736,0.002269065241318752
33,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,20.0,0.6600588898886787,0.01764038999266879,0.0008250736123608483
34,0.005,4000,800.0,1.4,0.1,0.71,9,6,17,5.0,nan,0.11503391671060326,nan
34,0.005,4000,800.0,1.4,0.1,0.71,9,6,17,10.0,nan,0.07256062262330193,nan
34,0.005,4000,800.0,1.4,0.1,0.71,9,6,17,15.0,nan,0.03942540847492396,nan
34,0.005,4000,800.0,1.4,0.1,0.71,9,6,17,20.0,nan,0.025679370047898158,nan
35,0.005,4000,800.0,1.4,0.1,0.71,9,8,17,5.0,nan,0.11503391671060326,nan
35,0.005,4000,800.0,1.4,0.1,0.71,9,8,17,10.0,nan,0.07256062262330193,nan
35,0.005,4000,800.0,1.4,0.1,0.71,9,8,17,15.0,nan,0.03942540847492396,nan
35,0.005,4000,800.0,1.4,0.1,0.71,9,8,17,20.0,nan,0.025679370047898158,nan
36,0.005,4000,800.0,1.4,0.1,0.71,10,2,17,5.0,2.7944380314824704,0.11382839096010056,0.003493047539353088
36,0.005,4000,800.0,1.4,0.1,0.71,10,2,17,10.0,2.6096981442771474,0.06535248230384336,0.0032621226803464342
36,0.005,4000,800.0,1.4,0.1,0.71,10,2,17,15.0,1.0787959866119174,0.032455257384662095,0.0013484949832648968
36,0.005,4000,800.0,1.4,0.1,0.71,10,2,17,20.0,0.5083139931134244,0.020997474453594706,0.0006353924913917805
37,0.005,4000,800.0,1.4,0.1,0.71,10,4,17,5.0,3.590745827513289,0.11358310191345594,0.0044884322843916115
37,0.005,4000,800.0,1.4,0.1,0.71,10,4,17,10.0,3.7593540968667267,0.06387105724183194,0.004699192621083408
37,0.005,4000,800.0,1.4,0.1,0.71,10,4,17,15.0,1.8152521930550019,0.030723548554180736,0.002269065241318752
37,0.005,4000,800.0,1.4,0.1,0.71,10,4,17,20.0,0.6600588898886787,0.01764038999266879,0.0008250736123608483
38,0.005,4000,800.0,1.4,0.1,0.71,10,6,17,5.0,3.888247138087527,0.11349131715552331,0.004860308922609409
38,0.005,4000,800.0,1.4,0.1,0.71,10,6,17,10.0,4.322214816194422,0.06235478071482882,0.005402768520243028
38,0.005,4000,800.0,1.4,0.1,0.71,10,6,17,15.0,1.7042735421662707,0.03004400304584023,0.0021303419277078385
38,0.005,4000,800.0,1.4,0.1,0.71,10,6,17,20.0,0.7129593934356467,0.019705913812020026,0.0008911992417945584
48,0.005,4000,800.0,1.4,0.1,0.71,13,2,17,5.0,2.6549225230913063,0.11503391671060326,0.0033186531538641328
48,0.005,4000,800.0,1.4,0.1,0.71,13,2,17,10.0,2.8795168332030086,0.07256062262330193,0.003599396041503761
48,0.005,4000,800.0,1.4,0.1,0.71,13,2,17,15.0,1.2538161641426036,0.03942540847492396,0.0015672702051782545
48,0.005,4000,800.0,1.4,0.1,0.71,13,2,17,20.0,0.6092546353250141,0.025679370047898158,0.0007615682941562676
49,0.005,4000,800.0,1.4,0.1,0.71,13,4,17,5.0,nan,0.11503391671060326,nan
49,0.005,4000,800.0,1.4,0.1,0.71,13,4,17,10.0,nan,0.07256062262330193,nan
49,0.005,4000,800.0,1.4,0.1,0.71,13,4,17,15.0,nan,0.03942540847492396,nan
49,0.005,4000,800.0,1.4,0.1,0.71,13,4,17,20.0,nan,0.025679370047898158,nan
50,0.005,4000,800.0,1.4,0.1,0.71,13,6,17,5.0,nan,0.11382839096010056,nan
50,0.005,4000,800.0,1.4,0.1,0.71,13,6,17,10.0,nan,0.06535248230384336,nan
50,0.005,4000,800.0,1.4,0.1,0.71,13,6,17,15.0,nan,0.032455257384662095,nan
50,0.005,4000,800.0,1.4,0.1,0.71,13,6,17,20.0,nan,0.020997474453594706,nan
56,0.005,4000,800.0,1.4,0.1,0.71,14,2,17,5.0,2.6549225230913063,0.11503391671060326,0.0033186531538641328
56,0.005,4000,800.0,1.4,0.1,0.71,14,2,17,10.0,2.8795168332030086,0.07256062262330193,0.003599396041503761
56,0.005,4000,800.0,1.4,0.1,0.71,14,2,17,15.0,1.2538161641426036,0.03942540847492396,0.0015672702051782545
56,0.005,4000,800.0,1.4,0.1,0.71,14,2,17,20.0,0.6092546353250141,0.025679370047898158,0.0007615682941562676
57,0.005,4000,800.0,1.4,0.1,0.71,14,4,17,5.0,3.609965639623878,0.11382839096010056,0.004512457049529847
57,0.005,4000,800.0,1.4,0.1,0.71,14,4,17,10.0,3.9175895495528232,0.06535248230384336,0.004896986936941029
57,0.005,4000,800.0,1.4,0.1,0.71,14,4,17,15.0,1.6228074430539805,0.032455257384662095,0.0020285093038174755
57,0.005,4000,800.0,1.4,0.1,0.71,14,4,17,20.0,0.7221483766873291,0.020997474453594706,0.0009026854708591614
